Sample in Buffer,Sample in Window,TRIGGER,dbg_sample[31:0],dbg_expected[31:0],dbg_pred[31:0],dbg_cycles[31:0],dbg_correct[31:0],dbg_pulse,custom_funct3[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
621,621,0,167,0,0,655,168,0,2
622,622,0,167,0,0,655,168,0,2
623,623,0,167,0,0,655,168,0,0
624,624,0,167,0,0,655,168,0,0
625,625,0,167,0,0,655,168,0,0
626,626,0,167,0,0,655,168,0,2
627,627,0,167,0,0,655,168,0,2
628,628,0,167,0,0,655,168,0,2
629,629,0,167,0,0,655,168,0,7
630,630,0,167,0,0,655,168,0,7
631,631,0,167,0,0,655,168,0,7
632,632,0,167,0,0,655,168,0,2
633,633,0,167,0,0,655,168,0,2
634,634,0,167,0,0,655,168,0,2
635,635,0,167,0,0,655,168,0,2
636,636,0,167,0,0,655,168,0,7
637,637,0,167,0,0,655,168,0,7
638,638,0,167,0,0,655,168,0,7
639,639,0,167,0,0,655,168,0,2
640,640,0,167,0,0,655,168,0,2
641,641,0,167,0,0,655,168,0,2
642,642,0,167,0,0,655,168,0,2
643,643,0,167,0,0,655,168,0,0
644,644,0,167,0,0,655,168,0,0
645,645,0,167,0,0,655,168,0,0
646,646,0,167,0,0,655,168,0,2
647,647,0,167,0,0,655,168,0,2
648,648,0,167,0,0,655,168,0,2
649,649,0,167,0,0,655,168,0,7
650,650,0,167,0,0,655,168,0,7
651,651,0,167,0,0,655,168,0,7
652,652,0,167,0,0,655,168,0,2
653,653,0,167,0,0,655,168,0,2
654,654,0,167,0,0,655,168,0,2
655,655,0,167,0,0,655,168,0,2
